"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",3532,1095295.4274735
"2","2007","MPA",7660,2919381.53543615
"3","2008","Fished",3500,1183058.43346965
"4","2008","MPA",8172,3175766.97935385
"5","2009","Fished",1544,409687.410462251
"6","2009","MPA",1804,577066.430329207
"7","2010","Fished",940,286530.282570054
"8","2010","MPA",1500,490138.422667031
"9","2011","Fished",752,317862.087203831
"10","2011","MPA",1340,587649.629992286
"11","2012","Fished",512,184604.700799722
"12","2012","MPA",1384,569974.468628455
"13","2013","Fished",3052,1139630.12766625
"14","2013","MPA",2740,1133646.05563928
