Year,Month,Catch,Units,Sex,Special
1994,-999,9.979,Kilograms,-999,-999
1995,-999,6.35,Kilograms,-999,-999
1996,-999,26.309,Kilograms,-999,-999
1997,-999,6.351,Kilograms,-999,-999
1998,-999,6.351,Kilograms,-999,-999
1999,-999,18.144,Kilograms,-999,-999
2000,-999,15.876,Kilograms,-999,-999
2001,-999,6.35,Kilograms,-999,-999
2002,-999,1.814,Kilograms,-999,-999
2003,-999,79.38,Kilograms,-999,-999
2004,-999,NA,Kilograms,-999,-999
2005,-999,NA,Kilograms,-999,-999
2006,-999,13.608,Kilograms,-999,-999
2007,-999,NA,Kilograms,-999,-999
2008,-999,21.774,Kilograms,-999,-999
2009,-999,2.268,Kilograms,-999,-999
2010,-999,5.897,Kilograms,-999,-999
2011,-999,17.69,Kilograms,-999,-999
2012,-999,5.443,Kilograms,-999,-999
2013,-999,19.958048,Kilograms,-999,-999
2014,-999,11.793392,Kilograms,-999,-999
